date,approximate_time,total_num_transports,num_unique_transports,night_travel_ratio,hours_per_transit,activity_time,is_activity,is_tour,activity_count,novelty_flag,primary_transport_0,primary_transport_2,primary_transport_3,primary_transport_4,activity_type_0,activity_type_1,activity_type_2,activity_type_3,activity_type_4,activity_type_5
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.8566346820627895,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-06-02,0.0,0.0,0.0,0.0,0.0,0.8566346820627895,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-06-03,0.686820903599663,0.5,0.5,0.0,0.46153846153846156,0.8566346820627895,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-06-04,0.7755238700769802,0.5,0.5,1.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-06-10,0.6324124771567161,0.5,0.5,0.0,0.38461538461538464,0.6274735630753033,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-06-11,0.3877619350384901,0.5,0.5,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,0.931471445717889,0.5,0.5,0.0,1.0,0.5404763088546395,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-06-15,0.846351820920547,1.0,0.5,0.0,0.38461538461538464,0.8566346820627895,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-06-17,0.442170361481437,0.5,0.5,0.0,0.19230769230769232,0.8566346820627895,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-06-18,0.0,0.0,0.0,0.0,0.0,0.8566346820627895,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-06-19,0.0,0.0,0.0,0.0,0.0,0.8566346820627895,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-06-20,0.0,0.0,0.0,0.0,0.0,0.8566346820627895,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-06-21,0.733951626354678,0.5,0.5,0.0,0.5384615384615384,0.8566346820627895,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-06-23,0.755349457881774,1.0,0.5,0.0,0.28846153846153844,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-06-25,0.846351820920547,0.5,0.5,1.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-06-26,0.0,0.0,0.0,0.0,0.0,0.42831734103139474,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-06-28,0.686820903599663,0.5,0.5,0.0,0.46153846153846156,0.8566346820627895,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-06-29,0.0,0.0,0.0,0.0,0.0,0.8566346820627895,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-06-30,0.686820903599663,0.5,0.5,0.0,0.46153846153846156,0.8566346820627895,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
